Dai,0.00,0.00,0.00,83.30,0.00,0.00,0.20,0.00,0.00,16.50,0.00,0.00
Danish,8.05,0.21,0.12,0.12,35.84,49.66,0.34,0.02,0.25,0.02,5.38,0
Dargin,27.5,2.29,0,0.16,5.4,26.82,0.5,0.06,0.91,0.22,36.1,0.08
Daur,0.00,29.20,0.00,4.60,0.00,0.00,0.00,0.00,0.00,65.90,0.30,0.00
Dharkars,34.73,0.60,0.00,0.20,1.40,5.21,56.76,0.00,0.00,0.70,0.40,0.00
Dhurwa,0.00,0.00,0.00,21.90,0.00,0.00,78.10,0.00,0.00,0.00,0.00,0.00
Dolgan,0.00,75.10,0.00,0.60,2.30,7.70,0.70,0.00,0.00,11.20,2.40,0.00
Dungan,2.83,6.59,0.09,24.87,0.42,2.77,0.77,0.13,0.31,58.73,2.16,0.33
Dusadh,30.80,0.00,0.00,1.00,0.40,2.30,63.60,0.00,0.10,1.80,0.00,0.00
Dutch,7.72,0.41,0.19,0.19,35.65,44.85,0.70,0.16,0.63,0.06,9.35,0.10
Egyptian,4.75,0.22,9.52,0.12,12.8,0.516,0.42,9.61,25.58,0.18,31.62,4.57
English_mixed,8.95,0.25,0.35,0.02,38.64,43.42,0.21,0.07,0.83,0.03,7.11,0.04
English_North,9.01,0.25,0.27,0.03,38.47,44.34,0.25,0.02,0.65,0.10,6.54,0.02
English_South,9.09,0.26,0.41,0.14,38.28,43.01,0.24,0.07,0.94,0.04,7.44,0.02
Estonian,2.49,3.11,0,0.16,21.83,63.85,1.85,0,0.59,0,6.12,0
Ethiopian,0.11,0.18,10.34,0.21,1.28,0,0.04,40.72,27.10,0.15,11.24,8.62
Evenk,0.57,72.83,0.34,0.02,0.19,1.81,0.16,0.07,0.16,23.20,0.47,0.18
Finnish_East,2.64,8.30,0.16,0.36,17.72,66.47,0.71,0.05,0.98,0.90,1.71,0
Finnish_West,4.85,6.09,0.26,0.22,22.52,62.24,0.78,0.03,0.57,0.59,1.87,0
French_Corsica,4.81,0,3.00,0,39.95,17.76,0.09,0,8.31,0.06,25.99,0.02
French_North,7.75,0.19,1.29,0.60,38.56,37.37,0.36,0.36,2.56,0.19,10.33,0.42
French_Northeast,7.49,0.34,1.30,0.10,38.30,37.06,0.11,0.13,3.53,0.20,11.19,0.25
French_Northwest,9.26,0.20,0.43,0,38.92,42.21,0.34,0.17,0.86,0.14,7.35,0.08
French_Southwest,5.56,0.16,2.00,0.21,53.12,27.50,0.69,0.12,2.61,0.43,7.54,0.06
Gadaba,0.00,0.00,0.00,31.00,0.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00
Garo,0.00,4.70,0.00,36.20,0.00,0.00,20.80,0.00,0.00,38.10,0.20,0.00
Georgian,19.50,0.55,0.16,0.21,5.12,9.42,0.37,0.06,7.04,0.31,57.20,0.04
Georgian_Adjara,19.54,0.59,0,0,7.8,4.1,0.54,0.05,8.46,0.31,58.62,0
Georgian_Gurian,18.73,0.31,0.02,0.34,4.51,10.73,0.17,0.12,6.12,0,58.94,0
Georgian_Imereti,19.33,0.33,0,0.11,5.3,7.93,0.47,0,6.83,0.1,59.61,0
Georgian_Mingrelian,18.78,0.69,0.15,0.13,4.16,9.36,0.24,0.05,5.1,0.36,60.98,0
Georgian_Svan,20.22,1.36,0,0.33,2.71,11.49,0.15,0,4.27,0.67,58.82,0
German,7.00,0.40,0.44,0.15,32.35,48.46,0.33,0.13,1.53,0,9.04,0.16
German_Northwest,8.26,0.21,0.30,0.13,35.34,47.17,0.22,0.06,0.83,0.02,7.41,0
Gond,16.08,0.60,0.00,9.69,0.10,1.30,71.83,0.00,0.00,0.40,0.00,0.00
Greek_Chios,7.83,0.06,2.91,0.23,23.99,13.14,0.03,0.09,13.12,0.21,38.38,0
Greek_Crete,8.02,0.02,2.63,0.20,23.40,12.24,0.17,0.23,14.43,0.17,38.45,0.04
Greek_Thessaly,5.71,0.40,1.55,0.12,27.88,25.10,0.45,0.02,8.97,0.13,29.66,0.01
Greek_Peloponnese,5.46,0.18,1.65,0.13,26.39,23.23,0.23,0.03,10.22,0.31,32.15,0
